ID,Material,Name,Density,Embodied Carbon
79,Cement,Mortar or screed (1:4 cement:sand mix) (Using CEM I cement),2100.0,0.16322062350119906
80,Cement,Mortar or screed (1:5 cement:sand mix) (Using CEM I cement),2100.0,0.13815010060362173
81,Cement,Mortar or screed (1:6 cement:sand mix) (Using CEM I cement),2100.0,0.1200315424610052
82,Cement,Mortar (1:½:4½ Cement:Lime:Sand mix) (Using CEM I cement),2100.0,0.16932758253461128
83,Cement,Mortar (1:1:6 Cement:Lime:Sand mix) (Using CEM I cement),2100.0,0.1520485049833887
84,Cement,Mortar (1:2:9 Cement:Lime:Sand mix) (Using CEM I cement),2100.0,0.1333344867358708
85,Cement,Mortar or screed (1:3 cement:sand mix) (Using average UK Cement Mix),2100.0,0.18312566400949556
86,Cement,Mortar or screed (1:4 cement:sand mix) (Using average UK Cement Mix),2100.0,0.14942673566235012
87,Cement,Mortar or screed (1:5 cement:sand mix) (Using average UK Cement Mix),2100.0,0.12657655688370223
88,Cement,Mortar or screed (1:6 cement:sand mix) (Using average UK Cement Mix),2100.0,0.11006264951681108
89,Cement,Mortar or screed (1:½:4½ Cement:Lime:Sand mix) (Using average UK Cement Mix),2100.0,0.15707614221767838
90,Cement,Mortar (1:1:6 Cement:Lime:Sand mix) (Using average UK Cement Mix),2100.0,0.14249360260996677
91,Cement,Mortar (1:2:9 Cement:Lime:Sand mix) (Using average UK Cement Mix),2100.0,0.12670005625282582
92,Cement,General concrete admixtures – Average of data collected,1300.0,1.6661666666666666
93,Cement,"Concrete admixtures – Air entrainers, Europe",1300.0,0.527
94,Cement,Concrete admixtures – Hardening Accelerators,1300.0,2.28
95,Cement,"Concrete admixtures – Plasticisers and
Superplasticisers",1300.0,1.88
96,Cement,Concrete admixtures – Retarders,1300.0,1.31
97,Cement,Concrete admixtures – Set Accelerators,1300.0,1.33
98,Cement,Concrete admixtures – Water Resisting Admixtures,1300.0,2.67
99,Clay,"Clay, Brick",1486.9758715476244,0.213
100,Clay,"Clay brick, one brick, 215 x 65 x 102.5mm",1486.9758715476244,0.45369
101,Clay,"wall, clay brick, single skin, 102.5 mm with Mortar 1:3 cement:sand mix (Using CEM I cement)",1893.8125802310656,40.49742748711542
102,Clay,"wall, clay brick, single skin, 102.5 mm with Mortar 1:4 cement:sand mix (Using CEM I cement)",1893.8125802310656,38.04550450586899
103,Clay,"wall, clay brick, single skin, 102.5 mm with Mortar 1:5 cement:sand mix (Using CEM I cement)",1893.8125802310656,36.38293298739807
104,Clay,"wall, clay brick, single skin, 102.5 mm with Mortar 1:6 cement:sand mix (Using CEM I cement)",1893.8125802310656,35.181386500045605
105,Clay,"wall, clay brick, single skin, 102.5 mm with Mortar (1:½:4½ Cement:Lime:Sand mix) (Using CEM I cement)",1893.8125802310656,38.45049231545317
106,Clay,"wall, clay brick, single skin, 102.5 mm with Mortar (1:1:6 Cement:Lime:Sand mix) (Using CEM I cement)",1893.8125802310656,37.30461664626683
107,Clay,"wall, clay brick, single skin, 102.5 mm with Mortar (1:2:9 Cement:Lime:Sand mix) (Using CEM I cement)",1893.8125802310656,36.06358175195775
108,Clay,"wall, clay brick, double skin, 215 mm with Mortar 1:3 cement:sand mix (Using CEM I cement)",1970.232558139535,88.07540296735905
109,Clay,"wall, clay brick, double skin, 215 mm with Mortar 1:4 cement:sand mix (Using CEM I cement)",1970.232558139535,81.86386474820144
110,Clay,"wall, clay brick, double skin, 215 mm with Mortar 1:5 cement:sand mix (Using CEM I cement)",1970.232558139535,77.65201690140844
111,Clay,"wall, clay brick, double skin, 215 mm with Mortar 1:6 cement:sand mix (Using CEM I cement)",1970.232558139535,74.60809913344887
112,Clay,"wall, clay brick, double skin, 215 mm with Mortar (1:½:4½ Cement:Lime:Sand mix) (Using CEM I cement)",1970.232558139535,82.8898338658147
113,Clay,"wall, clay brick, double skin, 215 mm with Mortar (1:1:6 Cement:Lime:Sand mix) (Using CEM I cement)",1970.232558139535,79.9869488372093
114,Clay,"wall, clay brick, double skin, 215 mm with Mortar (1:2:9 Cement:Lime:Sand mix) (Using CEM I cement)",1970.232558139535,76.8429937716263
115,Concrete,"Concrete, average UK mix",2380.0,246.0
116,Concrete,Concrete GEN0 with CEM I cement,2370.0,166.93622861670002
117,Concrete,Concrete GEN1 with CEM I cement,2370.0,230.34715197851628
118,Concrete,Concrete GEN 2 with CEM I cement,2370.0,248.75413527444
119,Concrete,Concrete GEN 3 with CEM I cement,2370.0,267.01340277922
120,Concrete,Concrete RC20/25 with CEM I cement,2400.0,290.22770234538
121,Concrete,Concrete RC25/30 with CEM I cement,2400.0,308.5726393167
122,Concrete,Concrete RC28/35 with CEM I cement,2400.0,326.8441453167
123,Concrete,Concrete RC32/40 with CEM I cement,2400.0,358.7580883406
124,Concrete,Concrete RC35/45 with CEM I cement,2400.0,386.09803561688994
125,Concrete,Concrete RC40/50 with CEM I cement,2400.0,413.49427997119204
126,Concrete,Concrete PAV1 with CEM I cement,2400.0,326.83496644528503
127,Concrete,Concrete PAV2 with CEM I cement,2400.0,358.767879136776
128,Concrete,Concrete GEN0 with 15% PFA cement,2370.0,151.4656695332385
129,Concrete,Concrete GEN1 with 15% PFA cement,2370.0,303.743419012296
130,Concrete,Concrete GEN 2 with 15% PFA cement,2370.0,227.78962237109337
131,Concrete,Concrete GEN 3 with 15% PFA cement,2370.0,244.3121886623887
132,Concrete,Concrete RC20/25 with 15% PFA cement,2390.0,265.3147509643922
133,Concrete,Concrete RC25/30 with 15% PFA cement,2390.0,282.0245101884219
134,Concrete,Concrete RC28/35 with 15% PFA cement,2390.0,301.42189730354505
135,Concrete,Concrete RC32/40 with 15% PFA cement,2390.0,332.39906258928335
136,Concrete,Concrete RC35/45 with 15% PFA cement,2390.0,355.00695376998635
137,Concrete,Concrete RC40/50 with 15% PFA cement,2390.0,379.9504974861088
138,Concrete,Concrete PAV1 with 15% PFA cement,2390.0,300.92840245758094
139,Concrete,Concrete PAV2 with 15% PFA cement,2390.0,332.8736349756392
140,Concrete,Concrete GEN0 with 30% PFA cement,2370.0,134.138023449777
141,Concrete,Concrete GEN1 with 30% PFA cement,2370.0,340.18270432868945
142,Concrete,Concrete GEN 2 with 30% PFA cement,2370.0,202.54272109401836
